['493', '30', '651', '704', '193', '930', '889', '725', '55', '658', '517', '476', '602', '167', '107', '102', '758', '370', '778', '239', '736', '603', '570', '742', '854']
['210', '453', '192', '515', '306', '779', '385', '738', '862', '430', '421', '283', '938', '120', '24', '879', '961', '716', '383', '691', '810', '151', '264', '371', '413']
['891', '235', '163', '951', '816', '717', '308', '892', '918', '285', '73', '721', '467', '546', '40', '615', '673', '99', '676', '365', '473', '363', '909', '477', '564']
['393', '770', '748', '179', '964', '50', '39', '971', '463', '689', '88', '900', '347', '674', '640', '468', '747', '328', '684', '752', '232', '484', '559', '940', '155']
['488', '92', '401', '920', '16', '109', '553', '629', '962', '60', '399', '560', '887', '180', '128', '228', '769', '760', '700', '435', '492', '411', '190', '398', '650']
['923', '841', '387', '945', '185', '366', '281', '376', '117', '666', '416', '897', '415', '267', '786', '11', '575', '754', '251', '727', '866', '23', '886', '975', '973']
['936', '584', '516', '336', '804', '996', '883', '481', '848', '614', '446', '750', '628', '815', '955', '125', '482', '139', '782', '731', '448', '968', '532', '827', '707']
['806', '274', '342', '983', '206', '162', '527', '382', '638', '743', '227', '521', '233', '247', '864', '582', '641', '728', '204', '977', '929', '855', '937', '422', '959']
['263', '759', '577', '844', '555', '89', '374', '524', '508', '331', '31', '356', '296', '188', '729', '461', '621', '460', '389', '51', '408', '433', '633', '414', '989']
['298', '327', '216', '240', '357', '686', '84', '388', '3', '831', '173', '234', '751', '538', '583', '340', '623', '441', '338', '568', '637', '919', '431', '881', '708']
['737', '71', '706', '61', '45', '375', '592', '34', '100', '771', '904', '838', '271', '888', '589', '212', '456', '268', '176', '720', '585', '711', '949', '991', '781']
['533', '694', '110', '847', '319', '410', '270', '418', '220', '78', '846', '766', '142', '690', '226', '826', '114', '333', '934', '857', '604', '965', '362', '616', '821']
['183', '698', '332', '875', '512', '741', '576', '792', '660', '880', '80', '871', '224', '434', '573', '181', '158', '140', '8', '561', '186', '420', '744', '526', '939']
['953', '196', '667', '211', '600', '243', '229', '823', '648', '123', '763', '910', '599', '978', '355', '96', '912', '299', '775', '5', '556', '246', '594', '174', '542']
['797', '124', '95', '19', '655', '784', '292', '419', '680', '318', '999', '757', '943', '928', '17', '669', '7', '714', '238', '22', '164', '280', '373', '222', '244']
['171', '58', '272', '390', '354', '946', '249', '310', '795', '622', '867', '159', '905', '221', '705', '472', '386', '601', '507', '773', '503', '668', '652', '678', '372']
['200', '935', '890', '801', '97', '67', '829', '647', '835', '334', '4', '613', '436', '324', '300', '21', '950', '208', '459', '36', '843', '541', '812', '28', '48']
['59', '303', '549', '819', '396', '189', '631', '723', '219', '230', '166', '696', '1', '384', '833', '258', '464', '618', '275', '439', '876', '941', '539', '424', '543']
['670', '277', '992', '462', '237', '606', '530', '44', '774', '634', '52', '106', '293', '988', '161', '509', '248', '470', '664', '624', '663', '581', '225', '809', '820']
['565', '755', '279', '457', '438', '105', '745', '440', '215', '241', '794', '256', '405', '392', '486', '550', '218', '980', '563', '547', '146', '288', '574', '733', '685']
['591', '104', '596', '537', '852', '391', '103', '261', '426', '127', '195', '132', '513', '112', '231', '315', '798', '344', '65', '545', '609', '986', '242', '534', '500']
['572', '406', '850', '397', '885', '152', '6', '571', '198', '840', '942', '316', '154', '349', '726', '321', '402', '394', '558', '873', '79', '2', '12', '297', '906']
['659', '377', '882', '479', '147', '702', '979', '899', '506', '695', '780', '121', '802', '671', '20', '182', '699', '933', '768', '767', '54', '194', '126', '108', '295']
['311', '46', '42', '661', '504', '895', '404', '681', '320', '956', '853', '143', '863', '907', '790', '360', '997', '429', '554', '713', '314', '749', '138', '160', '205']
['878', '525', '358', '177', '567', '75', '800', '170', '148', '119', '998', '536', '746', '913', '202', '957', '578', '952', '893', '168', '970', '870', '963', '917', '14']
['149', '443', '70', '178', '367', '944', '141', '926', '325', '932', '522', '697', '510', '817', '551', '165', '379', '626', '643', '153', '81', '911', '169', '502', '808']
['309', '761', '368', '514', '675', '619', '903', '825', '985', '839', '753', '90', '777', '814', '466', '245', '66', '587', '187', '442', '483', '29', '133', '312', '32']
['588', '632', '273', '489', '535', '710', '260', '9', '111', '924', '213', '287', '199', '25', '361', '718', '380', '289', '874', '83', '15', '485', '776', '35', '254']
['341', '381', '617', '884', '262', '454', '82', '74', '540', '307', '266', '832', '958', '395', '359', '719', '33', '172', '834', '134', '995', '18', '265', '13', '291']
['94', '257', '818', '677', '824', '783', '369', '898', '976', '788', '902', '452', '544', '837', '734', '987', '642', '474', '326', '859', '115', '849', '828', '518', '701']
['255', '608', '861', '191', '364', '197', '72', '305', '625', '586', '339', '455', '730', '922', '41', '772', '595', '427', '597', '130', '407', '480', '403', '569', '496']
['969', '37', '98', '91', '531', '437', '77', '511', '709', '400', '605', '49', '552', '47', '688', '129', '64', '0', '62', '350', '649', '353', '250', '947', '579']
['665', '450', '157', '722', '830', '627', '26', '948', '865', '144', '630', '68', '487', '253', '990', '329', '908', '993', '259', '417', '739', '869', '894', '343', '656']
['921', '498', '653', '762', '612', '799', '236', '346', '836', '845', '136', '337', '458', '207', '523', '56', '412', '785', '692', '712', '447', '76', '495', '93', '520']
['63', '317', '519', '409', '672', '351', '682', '662', '868', '807', '322', '150', '345', '931', '38', '116', '276', '214', '529', '724', '954', '203', '217', '284', '635']
['428', '822', '494', '644', '787', '580', '687', '122', '960', '703', '131', '915', '184', '330', '765', '445', '87', '657', '982', '85', '282', '27', '501', '175', '925']
['290', '877', '118', '679', '286', '740', '639', '901', '598', '607', '860', '223', '593', '86', '425', '611', '499', '135', '57', '789', '10', '505', '927', '465', '842']
['269', '590', '313', '803', '683', '528', '858', '471', '475', '478', '451', '449', '145', '654', '620', '562', '966', '304', '491', '101', '469', '557', '967', '43', '444']
['896', '791', '994', '137', '323', '278', '302', '715', '914', '793', '490', '301', '811', '805', '113', '432', '352', '636', '209', '981', '252', '156', '423', '201', '916']
['851', '645', '735', '69', '348', '693', '294', '972', '732', '378', '764', '796', '974', '872', '548', '856', '813', '497', '335', '566', '984', '756', '53', '646', '610']
