['447', '35', '18', '137', '995']
['758', '534', '491', '326', '93']
['335', '785', '854', '771', '756']
['150', '441', '922', '429', '199']
['599', '244', '382', '672', '117']
['333', '350', '526', '831', '521']
['6', '369', '755', '397', '612']
['670', '533', '246', '0', '540']
['236', '563', '556', '474', '404']
['128', '799', '951', '578', '301']
['742', '711', '581', '283', '482']
['11', '880', '676', '842', '918']
['210', '543', '659', '239', '566']
['761', '807', '671', '191', '665']
['634', '900', '54', '783', '981']
['166', '961', '417', '937', '183']
['945', '224', '4', '485', '920']
['160', '974', '789', '387', '778']
['140', '847', '275', '798', '516']
['81', '691', '20', '265', '354']
['372', '235', '456', '396', '638']
['701', '965', '12', '792', '364']
['465', '910', '938', '643', '618']
['663', '171', '378', '539', '735']
['60', '317', '558', '774', '864']
['506', '942', '786', '476', '423']
['919', '772', '395', '890', '13']
['180', '583', '593', '871', '211']
['647', '493', '790', '703', '640']
['206', '33', '107', '98', '50']
['271', '347', '295', '535', '135']
['628', '213', '80', '448', '681']
['630', '111', '894', '776', '488']
['106', '857', '793', '219', '196']
['464', '629', '907', '345', '740']
['212', '855', '37', '466', '633']
['523', '913', '162', '686', '642']
['371', '635', '624', '542', '968']
['310', '169', '909', '270', '702']
['147', '281', '710', '298', '130']
['985', '402', '201', '127', '998']
['121', '895', '304', '982', '862']
['591', '154', '123', '84', '522']
['990', '836', '289', '905', '398']
['705', '189', '389', '515', '365']
['791', '43', '375', '293', '489']
['450', '76', '475', '259', '112']
['457', '845', '850', '190', '529']
['309', '896', '645', '115', '161']
['73', '439', '694', '858', '285']
['903', '220', '562', '373', '421']
['837', '184', '636', '787', '410']
['784', '884', '754', '146', '193']
['136', '822', '518', '700', '460']
['481', '14', '964', '619', '661']
['426', '27', '155', '753', '726']
['9', '251', '87', '202', '29']
['314', '501', '357', '328', '471']
['868', '928', '654', '551', '886']
['139', '120', '729', '637', '131']
['856', '500', '323', '64', '288']
['846', '376', '459', '644', '322']
['248', '102', '749', '757', '85']
['495', '713', '641', '383', '343']
['91', '185', '258', '682', '801']
['496', '152', '570', '209', '689']
['609', '744', '810', '173', '527']
['340', '133', '716', '261', '994']
['433', '559', '802', '745', '463']
['338', '153', '332', '109', '867']
['145', '90', '876', '438', '290']
['47', '520', '773', '167', '827']
['594', '414', '944', '844', '739']
['56', '242', '969', '541', '865']
['800', '432', '897', '406', '657']
['142', '947', '656', '449', '821']
['300', '467', '946', '766', '51']
['555', '547', '859', '549', '788']
['650', '227', '987', '615', '22']
['866', '664', '264', '186', '344']
['715', '861', '58', '77', '215']
['655', '683', '651', '307', '118']
['660', '697', '605', '15', '678']
['963', '680', '241', '627', '828']
['21', '187', '921', '1', '843']
['952', '114', '940', '728', '10']
['490', '517', '48', '731', '70']
['311', '228', '674', '818', '706']
['435', '143', '497', '23', '669']
['349', '125', '658', '613', '83']
['25', '223', '263', '962', '885']
['243', '8', '427', '759', '269']
['796', '360', '318', '673', '883']
['537', '698', '666', '925', '737']
['291', '677', '253', '736', '997']
['129', '69', '36', '565', '723']
['586', '573', '841', '422', '826']
['853', '218', '44', '277', '958']
['499', '341', '811', '477', '611']
['626', '508', '237', '869', '564']
['695', '358', '524', '709', '390']
