['1', '7', '2', '0', '9', '6', '11', '5', '10', '4', '3', '8']
['15', '20', '31', '29', '38', '59', '57', '60', '70', '76', '75', '94']
['44', '88', '101', '102', '114', '119', '129', '121', '134', '132', '145', '151']
['13', '19', '14', '12', '21', '18', '23', '17', '22', '16', '100', '141']
['27', '32', '43', '41', '50', '71', '69', '72', '82', '87', '106', '113']
['56', '126', '131', '133', '146', '144', '25', '26', '24', '33', '30', '35']
['39', '55', '53', '62', '83', '81', '84', '34', '28', '112', '125', '138']
['68', '99', '118', '143', '153', '37', '67', '36', '45', '42', '47', '96']
['51', '65', '80', '74', '95', '93', '46', '40', '124', '137', '150', '155']
['111', '130', '49', '79', '48', '54', '105', '108', '58', '52', '136', '61']
['63', '77', '92', '86', '107', '123', '142', '149', '91', '89', '98', '66']
['104', '117', '120', '64', '148', '73', '103', '78', '147', '85', '115', '90']
['135', '154', '116', '110', '128', '122', '97', '127', '109', '152', '157', '163']
['140', '139', '171', '176', '158', '156', '165', '194', '162', '167', '161', '166']
['187', '185', '215', '213', '216', '226', '232', '160', '159', '257', '258', '270']
['200', '231', '250', '244', '275', '164', '277', '290', '288', '301', '169', '175']
['285', '307', '183', '188', '170', '168', '177', '206', '174', '179', '173', '178']
['199', '197', '227', '225', '228', '238', '172', '256', '269', '282', '287', '297']
['212', '243', '262', '289', '302', '300', '181', '182', '180', '189', '186', '191']
['195', '211', '209', '218', '239', '237', '240', '190', '184', '268', '281', '294']
['224', '255', '274', '299', '309', '193', '223', '192', '201', '198', '203', '252']
['207', '221', '236', '230', '251', '249', '202', '196', '280', '293', '306', '311']
['267', '286', '205', '235', '204', '210', '261', '264', '214', '208', '292', '217']
['219', '233', '248', '242', '263', '279', '298', '305', '247', '245', '254', '222']
['260', '273', '276', '220', '304', '229', '259', '234', '303', '241', '271', '246']
['291', '310', '272', '266', '284', '278', '253', '283', '265', '308', '313', '319']
['296', '295', '327', '332', '314', '312', '321', '350', '318', '323', '317', '322']
['343', '341', '371', '369', '372', '382', '388', '316', '315', '413', '414', '426']
['356', '387', '406', '400', '431', '320', '433', '446', '444', '457', '325', '331']
['441', '463', '339', '344', '326', '324', '333', '362', '330', '335', '329', '334']
['355', '353', '383', '381', '384', '394', '328', '412', '425', '438', '443', '453']
['368', '399', '418', '445', '458', '456', '337', '338', '336', '345', '342', '347']
['351', '367', '365', '374', '395', '393', '396', '346', '340', '424', '437', '450']
['380', '411', '430', '455', '465', '349', '379', '348', '357', '354', '359', '408']
['363', '377', '392', '386', '407', '405', '358', '352', '436', '449', '462', '467']
['423', '442', '361', '391', '360', '366', '417', '420', '370', '364', '448', '373']
['375', '389', '404', '398', '419', '435', '454', '461', '403', '401', '410', '378']
['416', '429', '432', '376', '460', '385', '415', '390', '459', '397', '427', '402']
['447', '466', '428', '422', '440', '434', '409', '439', '452', '421', '451', '464']
